location,date,total_cases,new_cases,total_deaths,new_deaths,icu_patients,hosp_patients,new_tests,total_tests,tests_per_case
Italy,04/03/2020,3089,587,107,28,295,1641,3981,29837,7.7
Italy,05/03/2020,3858,769,148,41,351,2141,2525,32362,6.4
Italy,06/03/2020,4636,778,197,49,462,2856,3997,36359,5.5
Italy,07/03/2020,5883,1247,233,36,567,3218,5703,42062,4.9
Italy,08/03/2020,7375,1492,366,133,650,4207,7875,49937,5.1
Italy,09/03/2020,9172,1797,463,97,733,5049,3889,53826,4.3
Italy,10/03/2020,10149,977,631,168,877,5915,6935,60761,4.6
Italy,11/03/2020,12462,2313,827,196,1028,6866,12393,73154,4.6
Italy,12/03/2020,15113,2651,1016,189,1153,7803,12857,86011,4.8
Italy,13/03/2020,17660,2547,1266,250,1328,8754,11477,97488,4.7
Italy,14/03/2020,21157,3497,1441,175,1518,9890,11682,109170,4.4
Italy,15/03/2020,24747,3590,1809,368,1672,11335,15729,124899,4.3
Italy,16/03/2020,27980,3233,2158,349,1851,12876,13063,137962,4.5
Italy,17/03/2020,31506,3526,2503,345,2060,14954,10695,148657,4.1
Italy,18/03/2020,35713,4207,2978,475,2257,16620,16884,165541,4
Italy,19/03/2020,41035,5322,3405,427,2498,18255,17236,182777,3.7
Italy,20/03/2020,47021,5986,4032,627,2655,18675,24109,206886,3.7
Italy,21/03/2020,53578,6557,4825,793,2857,20565,26336,233222,3.8
